id,concept_name,ts_code,name
TS18,高速公路,600020.SH,中原高速
TS18,高速公路,600033.SH,福建高速
TS18,高速公路,600035.SH,楚天高速
TS18,高速公路,600106.SH,重庆路桥
TS18,高速公路,600269.SH,赣粤高速
TS18,高速公路,600350.SH,山东高速
TS18,高速公路,600368.SH,五洲交通
TS18,高速公路,600377.SH,宁沪高速
TS18,高速公路,600548.SH,深高速
TS18,高速公路,601107.SH,四川成渝
TS18,高速公路,601188.SH,龙江交通
TS18,高速公路,601518.SH,吉林高速
TS19,有色-铝,000612.SZ,焦作万方
TS19,有色-铝,000758.SZ,中色股份
TS19,有色-铝,000807.SZ,云铝股份
TS19,有色-铝,000933.SZ,神火股份
TS19,有色-铝,002128.SZ,露天煤业
TS19,有色-铝,002160.SZ,常铝股份
TS19,有色-铝,002182.SZ,云海金属
TS19,有色-铝,002333.SZ,*ST罗普
TS19,有色-铝,002379.SZ,宏创控股
TS19,有色-铝,002501.SZ,*ST利源
TS19,有色-铝,002532.SZ,新界泵业
TS19,有色-铝,002540.SZ,亚太科技
TS19,有色-铝,002578.SZ,闽发铝业
TS19,有色-铝,002806.SZ,华锋股份
TS19,有色-铝,002824.SZ,和胜股份
TS19,有色-铝,300328.SZ,宜安科技
TS19,有色-铝,300337.SZ,银邦股份
TS19,有色-铝,300489.SZ,中飞股份
TS19,有色-铝,600219.SH,南山铝业
TS19,有色-铝,600595.SH,*ST中孚
TS19,有色-铝,600673.SH,东阳光
TS19,有色-铝,600768.SH,宁波富邦
TS19,有色-铝,600888.SH,新疆众和
TS19,有色-铝,600890.SH,中房股份
TS19,有色-铝,601388.SH,怡球资源
TS19,有色-铝,601600.SH,中国铝业
TS19,有色-铝,601677.SH,明泰铝业
TS19,有色-铝,603876.SH,鼎胜新材
TS19,有色-铝,603937.SH,丽岛新材
TS19,有色-铝,603978.SH,深圳新星
TS20,有色-锆,002167.SZ,东方锆业
TS20,有色-锆,300285.SZ,国瓷材料
TS20,有色-锆,300408.SZ,三环集团
TS20,有色-锆,600226.SH,瀚叶股份
TS20,有色-锆,600392.SH,盛和资源
TS20,有色-锆,600552.SH,凯盛科技
TS20,有色-锆,603663.SH,三祥新材
TS21,主题公园,000069.SZ,华侨城A
TS21,主题公园,002717.SZ,岭南股份
TS21,主题公园,002780.SZ,三夫户外
TS21,主题公园,300027.SZ,华谊兄弟
TS21,主题公园,300144.SZ,宋城演艺
TS21,主题公园,300178.SZ,腾邦国际
TS21,主题公园,300756.SZ,中山金马
